pilot|role_code|role_label|profile_id|profile_label|n_skills|technologies_covered|skills_included|suggested_hire_title|suggested_hire_esco_code|esco_affinity_score|isco_group|optimal_k|silhouette_score|strategy
A|1|Manager|A_1_0|Technological safety, cybersecurity, and privacy|1|Function-oriented assembly|Technological safety, cybersecurity, and privacy|director of compliance and information security|1213.9|0.372|1213|1||new hire
A|2|Supervisor|A_2_0|Information and Data Literacy skills|3|DPP Model|simulation usage; Information and Data Literacy skills; Digital Content Creation skills|data engineer|2511.20|0.362|2511|2|0.085|new hire
A|2|Supervisor|A_2_1|Task Programming|3|Hybrid disassembly; Function-oriented assembly|Task Programming; think out of the box; Evaluate and verify parameters and adjust settings|building information modelling consultant|2421.6|0.295|2421|2|0.085|new hire
A|3|Operator|A_3_0|Organizing and maintaining the specific data subsets, DPP data workflows|2|Hybrid disassembly; DPP Model|Organizing and maintaining the specific data subsets, DPP data workflows; Interaction with the inline database system to write and read component state data.|data entry clerk|4132.1|0.298|4132|4|0.147|new hire
A|3|Operator|A_3_1|Observe the disassembly process and understand the sequence the first time it is carried out|3|Hybrid disassembly|Observe the disassembly process and understand the sequence the first time it is carried out; Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level; Check the progress of the plan (disassembly point)|industrial machinery assembler|8211.2|0.251|8211|4|0.147|new hire
A|3|Operator|A_3_2|Collaboration and knowledge about the cobot capabilities and parameters|3|Hybrid disassembly; Function-oriented assembly|Collaboration and knowledge about the cobot capabilities and parameters; Spatial Awareness of the cobot; Effective human-system communication|mobile crane operator|8343.3|0.219|8343|4|0.147|new hire
A|3|Operator|A_3_3|End effector control|1|Hybrid disassembly|End effector control|ski lift operator|7412.13|0.149|7412|4|0.147|new hire
B|1|Manager|B_1_0|Technological safety, cybersecurity, and privacy|1|Function-oriented assembly|Technological safety, cybersecurity, and privacy|director of compliance and information security|1213.9|0.372|1213|1||new hire
B|2|Supervisor|B_2_0|Digital Content Creation skills|5|Cold spray; DPP Model; Function-oriented assembly|simulation usage; Information and Data Literacy skills; Digital Content Creation skills; PPE and Hazard awareness; Evaluate and verify parameters and adjust settings|building information modelling consultant|2421.6|0.367|2421|2|0.078|new hire
B|2|Supervisor|B_2_1|think out of the box|1|Function-oriented assembly|think out of the box|officer of the watch|3152.6|0.178|3152|2|0.078|new hire
B|3|Operator|B_3_0|Basic material science knowledge|2|Cold spray|Basic material science knowledge; Cold spray parameter awareness|tool grinder|7224.2|0.259|7224|2|0.062|new hire
B|3|Operator|B_3_1|Procedural precision and mental focus|6|Cold spray; DPP Model; Function-oriented assembly|Organizing and maintaining the specific data subsets, DPP data workflows; Cognitive and spatial reasoning; Psychomotor and physical capabilities; Procedural precision and mental focus; Basic robotic programming; Effective human-system communication|tramways technician|7421.9|0.286|7421|2|0.062|new hire
K|1|Manager|K_1_0|Technological safety, cybersecurity, and privacy|1|Function-oriented assembly|Technological safety, cybersecurity, and privacy|director of compliance and information security|1213.9|0.372|1213|1||new hire
K|2|Supervisor|K_2_0|Information and Data Literacy skills|3|DPP Model|simulation usage; Information and Data Literacy skills; Digital Content Creation skills|data engineer|2511.20|0.362|2511|3|0.072|new hire
K|2|Supervisor|K_2_1|Task Programming|3|Hybrid disassembly; Function-oriented assembly|Task Programming; think out of the box; Evaluate and verify parameters and adjust settings|building information modelling consultant|2421.6|0.295|2421|3|0.072|new hire
K|2|Supervisor|K_2_2|PPE and Hazard awareness|1|Cold spray|PPE and Hazard awareness|occupational health and safety inspector|3257.5|0.335|3257|3|0.072|new hire
K|3|Operator|K_3_0|Organizing and maintaining the specific data subsets, DPP data workflows|2|Hybrid disassembly; DPP Model|Organizing and maintaining the specific data subsets, DPP data workflows; Interaction with the inline database system to write and read component state data.|data entry clerk|4132.1|0.298|4132|4|0.104|new hire
