pilot,role_code,role_label,tech_skill,technologies,cluster_id,profile_id,cluster_label,optimal_k
A,2,Supervisor,simulation usage,DPP Model,0,A_2_0,Information and Data Literacy skills,2
A,2,Supervisor,Information and Data Literacy skills,DPP Model,0,A_2_0,Information and Data Literacy skills,2
A,2,Supervisor,Digital Content Creation skills,DPP Model,0,A_2_0,Information and Data Literacy skills,2
A,2,Supervisor,Task Programming,Hybrid disassembly,1,A_2_1,Task Programming,2
A,2,Supervisor,think out of the box,Function-oriented assembly,1,A_2_1,Task Programming,2
A,2,Supervisor,Evaluate and verify parameters and adjust settings,Function-oriented assembly,1,A_2_1,Task Programming,2
A,3,Operator,Observe the disassembly process and understand the sequence the first time it is carried out,Hybrid disassembly,0,A_3_0,Observe the disassembly process and understand the sequence the first time it is carried out,4
A,3,Operator,"Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level",Hybrid disassembly,0,A_3_0,Observe the disassembly process and understand the sequence the first time it is carried out,4
A,3,Operator,Check the progress of the plan (disassembly point),Hybrid disassembly,0,A_3_0,Observe the disassembly process and understand the sequence the first time it is carried out,4
A,3,Operator,Collaboration and knowledge about the cobot capabilities and parameters,Hybrid disassembly,1,A_3_1,Effective human-system communication,4
A,3,Operator,Effective human-system communication,Function-oriented assembly,1,A_3_1,Effective human-system communication,4
A,3,Operator,End effector control,Hybrid disassembly,2,A_3_2,End effector control,4
A,3,Operator,"Organizing and maintaining the specific data subsets, DPP data workflows",DPP Model,3,A_3_3,"Organizing and maintaining the specific data subsets, DPP data workflows",4
A,3,Operator,Interaction with the inline database system to write and read component state data.,Hybrid disassembly,3,A_3_3,"Organizing and maintaining the specific data subsets, DPP data workflows",4
B,2,Supervisor,simulation usage,DPP Model,0,B_2_0,Digital Content Creation skills,2
B,2,Supervisor,Information and Data Literacy skills,DPP Model,0,B_2_0,Digital Content Creation skills,2
B,2,Supervisor,Digital Content Creation skills,DPP Model,0,B_2_0,Digital Content Creation skills,2
