pilot,technology,profile_id,profile_label,n_skills,skills_included,closest_esco_occupation,closest_esco_code,esco_affinity_score,optimal_k,silhouette_score,strategy
A,DPP Model,0,sustainability compliance,1,sustainability compliance,operations manager,1321.2.3,0.222,4,0.09,new hire
A,DPP Model,1,"Organizing and maintaining the specific data subsets, DPP data workflows",3,"Process optimization; simulation usage; Organizing and maintaining the specific data subsets, DPP data workflows",Industrial Production Managers,1321.2.1,0.276,4,0.09,new hire
A,DPP Model,2,Interoperability and data exchange awareness,4,"Strategic integration; Interoperability and data exchange awareness; Cybersecurity Awareness; System administration, data security, operational continuity",database integrator,2521.4,0.274,4,0.09,new hire
A,DPP Model,3,Digital Content Creation skills,3,Problem-solving; Information and Data Literacy skills; Digital Content Creation skills,Industrial Quality Managers,1321.2.2,0.33,4,0.09,new hire
A,Function-oriented assembly,0,System integration,5,"Technological safety, cybersecurity, and privacy; System integration; Ability to operate both virtual and physical assembly environments; Effective human-system communication; Evaluate and verify parameters and adjust settings",Equipment Engineer,2144.1.6,0.303,3,0.053,new hire
A,Function-oriented assembly,1,Strategic decision-making,2,Strategic decision-making; think out of the box,operations manager,1321.2.3,0.214,3,0.053,new hire
A,Function-oriented assembly,2,Optimization and scheduling,1,Optimization and scheduling,Industrial Production Managers,1321.2.1,0.22,3,0.053,new hire
A,Hybrid disassembly,0,Observe the disassembly process and understand the sequence the first time it is carried out,4,"Observe the disassembly process and understand the sequence the first time it is carried out; Which disassembled components to recycle/scrap/collect; Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level; Check the progress of the plan (disassembly point)",Industrial Machinery Assembler,8211.2,0.27,5,0.114,new hire
A,Hybrid disassembly,1,Knowledge of emergency safety routines,2,Task Programming; Knowledge of emergency safety routines,Equipment Engineer,2144.1.6,0.232,5,0.114,new hire
A,Hybrid disassembly,2,Spatial Awareness of the cobot,2,Collaboration and knowledge about the cobot capabilities and parameters; Spatial Awareness of the cobot,Robotics Engineering Technician,3119.2.1,0.197,5,0.114,new hire
A,Hybrid disassembly,3,End effector control,1,End effector control,Robotics Engineering Technician,3119.2.1,0.134,5,0.114,new hire
A,Hybrid disassembly,4,Interaction with the inline database system to write and read component state data.,1,Interaction with the inline database system to write and read component state data.,database integrator,2521.4,0.269,5,0.114,new hire
B,Cold spray,0,assess surface condition,4,Basic material science knowledge; assess surface condition; Quality control basics; Waste management,industrial quality manager,1321.2.2,0.378,4,0.158,new hire
B,Cold spray,1,Psychomotor and physical capabilities,2,Psychomotor and physical capabilities; Basic robotic programming,automation engineering technician,3119.2,0.249,4,0.158,new hire
B,Cold spray,2,Cognitive and spatial reasoning,2,Cognitive and spatial reasoning; Procedural precision and mental focus,logistics and distribution manager,1324.3,0.176,4,0.158,new hire
B,Cold spray,3,Cold spray parameter awareness,2,Cold spray parameter awareness; PPE and Hazard awareness,quality engineering technician,3119.16,0.16,4,0.158,new hire
B,DPP Model,0,sustainability compliance,1,sustainability compliance,homologation engineer,2141.3,0.248,4,0.09,new hire
B,DPP Model,1,"Organizing and maintaining the specific data subsets, DPP data workflows",3,"Process optimization; simulation usage; Organizing and maintaining the specific data subsets, DPP data workflows",industrial production manager,1321.2.1,0.276,4,0.09,new hire
B,DPP Model,2,Interoperability and data exchange awareness,4,"Strategic integration; Interoperability and data exchange awareness; Cybersecurity Awareness; System administration, data security, operational continuity",database integrator,2521.4,0.274,4,0.09,new hire
B,DPP Model,3,Digital Content Creation skills,3,Problem-solving; Information and Data Literacy skills; Digital Content Creation skills,industrial quality manager,1321.2.2,0.33,4,0.09,new hire
B,Function-oriented assembly,0,System integration,5,"Technological safety, cybersecurity, and privacy; System integration; Ability to operate both virtual and physical assembly environments; Effective human-system communication; Evaluate and verify parameters and adjust settings",industrial engineer,2141.4,0.295,3,0.053,new hire
B,Function-oriented assembly,1,Strategic decision-making,2,Strategic decision-making; think out of the box,operations manager,1321.2.3,0.214,3,0.053,new hire
B,Function-oriented assembly,2,Optimization and scheduling,1,Optimization and scheduling,industrial engineer,2141.4,0.224,3,0.053,new hire
K,Cold spray,0,assess surface condition,4,Basic material science knowledge; assess surface condition; Quality control basics; Waste management,industrial quality manager,1321.2.2,0.378,4,0.158,new hire
K,Cold spray,1,Psychomotor and physical capabilities,2,Psychomotor and physical capabilities; Basic robotic programming,automation engineering technician,3119.2,0.249,4,0.158,new hire
K,Cold spray,2,Cognitive and spatial reasoning,2,Cognitive and spatial reasoning; Procedural precision and mental focus,logistics and distribution manager,1324.3,0.176,4,0.158,new hire
K,Cold spray,3,Cold spray parameter awareness,2,Cold spray parameter awareness; PPE and Hazard awareness,quality engineering technician,3119.16,0.16,4,0.158,new hire
K,DPP Model,0,sustainability compliance,1,sustainability compliance,homologation engineer,2141.3,0.248,4,0.09,new hire
K,DPP Model,1,"Organizing and maintaining the specific data subsets, DPP data workflows",3,"Process optimization; simulation usage; Organizing and maintaining the specific data subsets, DPP data workflows",industrial production manager,1321.2.1,0.276,4,0.09,new hire
K,DPP Model,2,Interoperability and data exchange awareness,4,"Strategic integration; Interoperability and data exchange awareness; Cybersecurity Awareness; System administration, data security, operational continuity",database integrator,2521.4,0.274,4,0.09,new hire
K,DPP Model,3,Digital Content Creation skills,3,Problem-solving; Information and Data Literacy skills; Digital Content Creation skills,industrial quality manager,1321.2.2,0.33,4,0.09,new hire
K,Function-oriented assembly,0,System integration,5,"Technological safety, cybersecurity, and privacy; System integration; Ability to operate both virtual and physical assembly environments; Effective human-system communication; Evaluate and verify parameters and adjust settings",industrial engineer,2141.4,0.295,3,0.053,new hire
K,Function-oriented assembly,1,Strategic decision-making,2,Strategic decision-making; think out of the box,operations manager,1321.2.3,0.214,3,0.053,new hire
K,Function-oriented assembly,2,Optimization and scheduling,1,Optimization and scheduling,industrial engineer,2141.4,0.224,3,0.053,new hire
K,Hybrid disassembly,0,Observe the disassembly process and understand the sequence the first time it is carried out,4,"Observe the disassembly process and understand the sequence the first time it is carried out; Which disassembled components to recycle/scrap/collect; Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level; Check the progress of the plan (disassembly point)",industrial production manager,1321.2.1,0.259,5,0.114,new hire
K,Hybrid disassembly,1,Knowledge of emergency safety routines,2,Task Programming; Knowledge of emergency safety routines,logistics and distribution manager,1324.3,0.228,5,0.114,new hire
K,Hybrid disassembly,2,Spatial Awareness of the cobot,2,Collaboration and knowledge about the cobot capabilities and parameters; Spatial Awareness of the cobot,automation engineering technician,3119.2,0.203,5,0.114,new hire
K,Hybrid disassembly,3,End effector control,1,End effector control,automation engineering technician,3119.2,0.129,5,0.114,new hire
K,Hybrid disassembly,4,Interaction with the inline database system to write and read component state data.,1,Interaction with the inline database system to write and read component state data.,database integrator,2521.4,0.269,5,0.114,new hire
